NAME,Rarity Sum
Pet Bricks #2805,21.439999999999998
Pet Bricks #3644,21.439999999999998
Pet Bricks #1101,21.459999999999997
Pet Bricks #432,21.48
Pet Bricks #4192,21.48
Pet Bricks #313,21.52
Pet Bricks #3880,21.52
Pet Bricks #3978,21.520000000000003
Pet Bricks #4416,21.520000000000003
Pet Bricks #1696,21.54
Pet Bricks #4334,21.54
Pet Bricks #4539,21.559999999999995
Pet Bricks #156,21.56
Pet Bricks #359,21.56
Pet Bricks #2347,21.58
Pet Bricks #317,21.6
Pet Bricks #645,21.619999999999997
Pet Bricks #179,21.62
Pet Bricks #4585,21.62
Pet Bricks #794,21.639999999999997
Pet Bricks #1336,21.64
Pet Bricks #2187,21.64
Pet Bricks #892,21.640000000000004
Pet Bricks #1453,21.640000000000004
Pet Bricks #2945,21.640000000000004
Pet Bricks #2481,21.66
Pet Bricks #1297,21.660000000000004
Pet Bricks #159,21.679999999999996
Pet Bricks #3207,21.679999999999996
Pet Bricks #2402,21.68
Pet Bricks #2487,21.68
Pet Bricks #4174,21.68
Pet Bricks #4964,21.680000000000003
Pet Bricks #955,21.7
Pet Bricks #1094,21.7
Pet Bricks #2698,21.7
Pet Bricks #3289,21.7
Pet Bricks #3549,21.7
Pet Bricks #2502,21.700000000000003
Pet Bricks #252,21.72
Pet Bricks #1004,21.72
Pet Bricks #2158,21.72
Pet Bricks #3756,21.72
Pet Bricks #3537,21.720000000000002
Pet Bricks #2875,21.759999999999998
Pet Bricks #325,21.76
Pet Bricks #963,21.779999999999998
Pet Bricks #2216,21.779999999999998
Pet Bricks #406,21.8
Pet Bricks #3822,21.8
Pet Bricks #1223,21.82
Pet Bricks #4329,21.82
Pet Bricks #4483,21.82
Pet Bricks #528,21.84
Pet Bricks #1555,21.84
Pet Bricks #374,21.86
Pet Bricks #2134,21.86
Pet Bricks #2816,21.880000000000003
Pet Bricks #1123,21.9
Pet Bricks #4862,21.9
Pet Bricks #180,21.919999999999998
Pet Bricks #354,21.919999999999998
Pet Bricks #283,21.92
Pet Bricks #4211,21.92
Pet Bricks #1292,21.939999999999998
Pet Bricks #1546,21.94
Pet Bricks #1833,21.98
Pet Bricks #4429,21.98
Pet Bricks #2815,22
Pet Bricks #3677,22
Pet Bricks #4837,22
Pet Bricks #3075,22.02
Pet Bricks #4630,22.04
Pet Bricks #4651,22.04
Pet Bricks #1068,22.06
Pet Bricks #1376,22.08
Pet Bricks #2040,22.08
Pet Bricks #3758,22.08
Pet Bricks #284,22.080000000000002
Pet Bricks #3482,22.080000000000002
Pet Bricks #4486,22.080000000000002
Pet Bricks #1263,22.099999999999998
Pet Bricks #3131,22.1
Pet Bricks #2077,22.139999999999997
Pet Bricks #3753,22.159999999999997
Pet Bricks #421,22.16
Pet Bricks #1730,22.16
Pet Bricks #3359,22.16
Pet Bricks #3497,22.16
Pet Bricks #4177,22.2
Pet Bricks #1387,22.22
Pet Bricks #3923,22.22
Pet Bricks #4711,22.22
Pet Bricks #4580,22.220000000000002
Pet Bricks #1659,22.24
Pet Bricks #2643,22.240000000000002
Pet Bricks #3542,22.240000000000002
Pet Bricks #46,22.259999999999998
Pet Bricks #2285,22.259999999999998
Pet Bricks #2725,22.259999999999998
Pet Bricks #4503,22.259999999999998
Pet Bricks #483,22.26
Pet Bricks #3008,22.26
Pet Bricks #3433,22.26
Pet Bricks #3600,22.26
Pet Bricks #2518,22.279999999999998
Pet Bricks #37,22.28
Pet Bricks #4021,22.28
Pet Bricks #298,22.299999999999997
Pet Bricks #2525,22.299999999999997
Pet Bricks #422,22.3
Pet Bricks #580,22.3
Pet Bricks #3845,22.32
Pet Bricks #3063,22.320000000000004
Pet Bricks #1814,22.339999999999996
Pet Bricks #2236,22.339999999999996
Pet Bricks #236,22.36
Pet Bricks #2267,22.36
Pet Bricks #2195,22.360000000000003
Pet Bricks #128,22.38
Pet Bricks #2035,22.38
Pet Bricks #3914,22.38
Pet Bricks #3568,22.399999999999995
Pet Bricks #1937,22.4
Pet Bricks #3425,22.4
Pet Bricks #3511,22.4
Pet Bricks #4649,22.4
Pet Bricks #1063,22.400000000000002
Pet Bricks #1699,22.42
Pet Bricks #2935,22.42
Pet Bricks #3278,22.42
Pet Bricks #4792,22.42
Pet Bricks #4802,22.439999999999998
Pet Bricks #2432,22.44
Pet Bricks #4319,22.44
Pet Bricks #4338,22.459999999999997
Pet Bricks #2689,22.46
Pet Bricks #178,22.48
Pet Bricks #478,22.48
Pet Bricks #1291,22.48
Pet Bricks #175,22.5
Pet Bricks #1855,22.5
Pet Bricks #3869,22.5
Pet Bricks #65,22.52
Pet Bricks #632,22.520000000000003
Pet Bricks #660,22.520000000000003
Pet Bricks #4566,22.54
Pet Bricks #3637,22.560000000000002
Pet Bricks #4814,22.579999999999995
Pet Bricks #31,22.58
Pet Bricks #2512,22.58
Pet Bricks #927,22.6
Pet Bricks #2659,22.6
Pet Bricks #4097,22.6
Pet Bricks #646,22.619999999999997
Pet Bricks #135,22.62
Pet Bricks #4854,22.64
Pet Bricks #3616,22.68
Pet Bricks #667,22.7
Pet Bricks #545,22.700000000000003
Pet Bricks #3154,22.72
Pet Bricks #4019,22.720000000000002
Pet Bricks #4841,22.720000000000002
Pet Bricks #76,22.74
Pet Bricks #1501,22.759999999999998
Pet Bricks #2715,22.759999999999998
Pet Bricks #744,22.78
Pet Bricks #2670,22.78
Pet Bricks #1262,22.8
Pet Bricks #3589,22.8
Pet Bricks #3741,22.8
Pet Bricks #4704,22.8
Pet Bricks #988,22.800000000000004
Pet Bricks #4617,22.819999999999997
Pet Bricks #256,22.82
Pet Bricks #953,22.82
Pet Bricks #3732,22.839999999999996
Pet Bricks #3383,22.84
Pet Bricks #4063,22.84
Pet Bricks #4197,22.84
Pet Bricks #4286,22.84
Pet Bricks #1346,22.840000000000003
Pet Bricks #3148,22.840000000000003
Pet Bricks #4382,22.86
Pet Bricks #1131,22.860000000000003
Pet Bricks #4011,22.879999999999995
Pet Bricks #2765,22.88
Pet Bricks #891,22.880000000000003
Pet Bricks #1994,22.880000000000003
Pet Bricks #550,22.9
Pet Bricks #4438,22.9
Pet Bricks #2059,22.92
Pet Bricks #1603,22.939999999999998
Pet Bricks #767,22.96
Pet Bricks #931,22.96
Pet Bricks #4954,22.96
Pet Bricks #3597,22.979999999999997
Pet Bricks #1805,22.98
Pet Bricks #985,22.999999999999996
Pet Bricks #1741,23
Pet Bricks #3066,23
Pet Bricks #4320,23
Pet Bricks #3698,23.02
Pet Bricks #4081,23.02
Pet Bricks #4214,23.02
Pet Bricks #23,23.020000000000003
Pet Bricks #3110,23.020000000000003
Pet Bricks #61,23.04
Pet Bricks #522,23.04
Pet Bricks #3091,23.04
Pet Bricks #3715,23.04
Pet Bricks #534,23.06
Pet Bricks #1824,23.06
Pet Bricks #1992,23.06
Pet Bricks #2024,23.06
Pet Bricks #4505,23.060000000000002
Pet Bricks #75,23.08
Pet Bricks #2418,23.080000000000002
Pet Bricks #3385,23.080000000000002
Pet Bricks #4339,23.080000000000002
Pet Bricks #335,23.099999999999998
Pet Bricks #2637,23.099999999999998
Pet Bricks #4234,23.099999999999998
Pet Bricks #4661,23.1
Pet Bricks #1034,23.119999999999997
Pet Bricks #2605,23.12
Pet Bricks #2717,23.12
Pet Bricks #4655,23.12
Pet Bricks #4961,23.12
Pet Bricks #3898,23.139999999999997
Pet Bricks #3894,23.14
Pet Bricks #4664,23.14
Pet Bricks #1329,23.159999999999997
Pet Bricks #4386,23.16
Pet Bricks #1919,23.18
Pet Bricks #780,23.2
Pet Bricks #2667,23.2
Pet Bricks #1525,23.200000000000003
Pet Bricks #1890,23.22
Pet Bricks #2767,23.22
Pet Bricks #125,23.259999999999998
Pet Bricks #2088,23.259999999999998
Pet Bricks #4343,23.259999999999998
Pet Bricks #2261,23.26
Pet Bricks #3837,23.26
Pet Bricks #1048,23.28
Pet Bricks #2021,23.28
Pet Bricks #3874,23.28
Pet Bricks #4308,23.28
Pet Bricks #2985,23.3
Pet Bricks #4185,23.3
Pet Bricks #1749,23.32
Pet Bricks #2801,23.339999999999996
Pet Bricks #732,23.34
Pet Bricks #871,23.34
Pet Bricks #3528,23.34
Pet Bricks #1447,23.340000000000003
Pet Bricks #3060,23.340000000000003
Pet Bricks #1918,23.36
Pet Bricks #2716,23.380000000000003
Pet Bricks #2942,23.380000000000003
Pet Bricks #316,23.4
Pet Bricks #2033,23.400000000000002
Pet Bricks #197,23.459999999999997
Pet Bricks #3716,23.459999999999997
Pet Bricks #7,23.46
Pet Bricks #4897,23.46
Pet Bricks #3624,23.479999999999997
Pet Bricks #656,23.48
Pet Bricks #1907,23.48
Pet Bricks #2854,23.480000000000004
Pet Bricks #1380,23.5
Pet Bricks #1914,23.5
Pet Bricks #2151,23.5
Pet Bricks #2355,23.5
Pet Bricks #3755,23.5
Pet Bricks #3240,23.519999999999996
Pet Bricks #2115,23.52
Pet Bricks #2278,23.52
Pet Bricks #3708,23.52
Pet Bricks #4268,23.52
Pet Bricks #4870,23.52
Pet Bricks #2061,23.520000000000003
Pet Bricks #2226,23.539999999999996
Pet Bricks #1640,23.54
Pet Bricks #2917,23.54
Pet Bricks #3525,23.540000000000003
Pet Bricks #2188,23.56
Pet Bricks #890,23.560000000000002
Pet Bricks #2377,23.560000000000002
Pet Bricks #3261,23.58
Pet Bricks #4489,23.58
Pet Bricks #1240,23.599999999999998
Pet Bricks #4933,23.599999999999998
Pet Bricks #3833,23.6
Pet Bricks #4387,23.619999999999997
Pet Bricks #380,23.62
Pet Bricks #806,23.64
Pet Bricks #1612,23.64
Pet Bricks #4920,23.64
Pet Bricks #4935,23.64
Pet Bricks #2844,23.66
Pet Bricks #3917,23.660000000000004
Pet Bricks #3146,23.68
Pet Bricks #2836,23.699999999999996
Pet Bricks #2843,23.7
Pet Bricks #3658,23.7
Pet Bricks #2084,23.700000000000003
Pet Bricks #2763,23.700000000000003
Pet Bricks #2825,23.72
Pet Bricks #2835,23.72
Pet Bricks #3474,23.72
Pet Bricks #303,23.720000000000002
Pet Bricks #4059,23.720000000000002
Pet Bricks #4990,23.720000000000002
Pet Bricks #176,23.74
Pet Bricks #4848,23.74
Pet Bricks #1488,23.740000000000002
Pet Bricks #4140,23.740000000000002
Pet Bricks #4409,23.740000000000002
Pet Bricks #1475,23.759999999999998
Pet Bricks #3315,23.759999999999998
Pet Bricks #3440,23.759999999999998
Pet Bricks #4078,23.759999999999998
Pet Bricks #4218,23.759999999999998
Pet Bricks #424,23.76
Pet Bricks #2127,23.76
Pet Bricks #2679,23.76
Pet Bricks #4417,23.76
Pet Bricks #357,23.779999999999998
Pet Bricks #244,23.78
Pet Bricks #1065,23.78
Pet Bricks #1512,23.78
Pet Bricks #331,23.8
Pet Bricks #980,23.8
Pet Bricks #3701,23.819999999999997
Pet Bricks #2999,23.82
Pet Bricks #4024,23.82
Pet Bricks #472,23.839999999999996
Pet Bricks #943,23.839999999999996
Pet Bricks #1891,23.84
Pet Bricks #3281,23.86
Pet Bricks #3400,23.86
Pet Bricks #2509,23.88
Pet Bricks #2133,23.880000000000003
Pet Bricks #4490,23.880000000000003
Pet Bricks #166,23.9
Pet Bricks #1014,23.9
Pet Bricks #1819,23.900000000000002
Pet Bricks #4570,23.900000000000002
Pet Bricks #2753,23.919999999999998
Pet Bricks #3988,23.92
Pet Bricks #1102,23.939999999999998
Pet Bricks #991,23.94
Pet Bricks #3135,23.94
Pet Bricks #3975,23.94
Pet Bricks #4010,23.94
Pet Bricks #3886,23.96
Pet Bricks #605,23.98
Pet Bricks #2914,23.98
Pet Bricks #2861,24
Pet Bricks #3190,24
Pet Bricks #3951,24
Pet Bricks #4331,24
Pet Bricks #4458,24
Pet Bricks #3215,24.019999999999996
Pet Bricks #4663,24.04
Pet Bricks #679,24.040000000000003
